Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
2,CCAFS,Starlink,"15,600 kg",LEO,,,,,8 December 2010,15:43
3,CCAFS,Starlink,"15,600 kg",LEO,,,,,22 May 2012,07:44
4,CCAFS,Starlink,"15,600 kg",LEO,,,,,8 October 2012,00:35
5,CCAFS,GPS III,"4,311 kg",MEO,,,,,1 March 2013,15:10
6,VAFB,Crew-1,"~12,500 kg",LEO,,,,,29 September 2013,16:00
7,CCAFS,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,,,,,3 December 2013,22:41
8,CCAFS,Starlink,"15,600 kg",LEO,,,,,6 January 2014,22:06
9,Cape Canaveral,SpaceX CRS-21,"2,972 kg",LEO,,,,,18 April 2014,19:25
10,Cape Canaveral,SXM-7,"7,000 kg",GTO,,,,,14 July 2014,15:15
11,Cape Canaveral,NROL-108,C,LEO,,,,,5 August 2014,08:00
12,Cape Canaveral,Türksat 5A,"3,500 kg",GTO,,,,,7 September 2014,05:00
13,Cape Canaveral,Starlink,"15,600 kg",LEO,,,,,21 September 2014,05:52
14,Cape Canaveral,Transporter-1,"~5,000 kg",SSO,,,,,10 January 2015,09:47
15,Cape Canaveral,Dragon Spacecraft Qualification Unit,0,LEO,,,,,11 February 2015,23:03
16,Cape Canaveral,Dragon,0,LEO,,,,,2 March 2015,03:50
17,Cape Canaveral,Dragon,525 kg,LEO,,,,,14 April 2015,20:10
18,Cape Canaveral,SpaceX CRS-1,"4,700 kg",LEO,,,,,27 April 2015,23:03
19,Cape Canaveral,SpaceX CRS-2,"4,877 kg",LEO,,,,,28 June 2015,14:21
20,Cape Canaveral,CASSIOPE,500 kg,LEO,,,,,22 December 2015,01:29
21,VAFB,SES-8,"3,170 kg",LEO,,,,,17 January 2016,18:42
22,Cape Canaveral,Thaicom 6,"3,325 kg",LEO,,,,,4 March 2016,23:35
23,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,,,,8 April 2016,20:43
24,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,,,,6 May 2016,05:21
25,Cape Canaveral,AsiaSat 8,"4,535 kg",LEO,,,,,27 May 2016,21:39
26,Cape Canaveral,AsiaSat 6,"4,428 kg",LEO,,,,,15 June 2016,14:29
27,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,,,,18 July 2016,04:45
28,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,,,,14 August 2016,05:26
29,VAFB,DSCOVR,570 kg,GTO,,,,,14 January 2017,17:54
30,KSC,ABS-3A,"4,159 kg",,,,,,19 February 2017,14:39
31,KSC,SpaceX CRS-6,"1,898 kg",,,,,,16 March 2017,06:00
32,KSC,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",,,,,,30 March 2017,22:27
33,KSC,SpaceX CRS-7,"1,952 kg",,,,,,1 May 2017,11:15
34,KSC,Orbcomm-OG2,"2,034 kg",,,,,,15 May 2017,23:21
35,KSC,Jason-3,553 kg,,,,,,3 June 2017,21:07
36,KSC,SES-9,"5,271 kg",,,,,,23 June 2017,19:10
37,VAFB,SpaceX CRS-8,"3,136 kg",,,,,,25 June 2017,20:25
38,KSC,JCSAT-14,"4,696 kg",,,,,,5 July 2017,23:38
39,KSC,Thaicom 8,"3,100 kg",,,,,,14 August 2017,16:31
40,VAFB,ABS-2A,"3,600 kg",,,,,,24 August 2017,18:51
41,KSC,SpaceX CRS-9,"2,257 kg",,,,,,7 September 2017,14:00
42,VAFB,JCSAT-16,"4,600 kg",,,,,,9 October 2017,12:37
43,KSC,Iridium NEXT,"9,600 kg",,,,,,11 October 2017,22:53:00
44,KSC,SpaceX CRS-10,"2,490 kg",,,,,,30 October 2017,19:34
45,Cape Canaveral,EchoStar 23,"5,600 kg",,,,,,15 December 2017,15:36
46,VAFB,SES-10,"5,300 kg",,,,,,23 December 2017,01:27
47,CCAFS,NROL-76,C,,,,,,8 January 2018,01:00
48,CCAFS,Inmarsat-5 F4,"6,070 kg",,,,,,31 January 2018,21:25
49,VAFB,SpaceX CRS-11,"2,708 kg",,,,,,22 February 2018,14:17
50,CCAFS,BulgariaSat-1,"3,669 kg",,,,,,6 March 2018,05:33
51,VAFB,Iridium NEXT,"9,600 kg",,,,,,30 March 2018,14:14
52,CCAFS,Intelsat 35e,"6,761 kg",,,,,,2 April 2018,20:30
53,CCAFS,SpaceX CRS-12,"3,310 kg",,,,,,18 April 2018,22:51
54,KSC,Formosat-5,475 kg,,,,,,11 May 2018,20:14
55,VAFB,Boeing X-37B,"4,990 kg",,,,,,22 May 2018,19:47
56,CCAFS,Iridium NEXT,"9,600 kg",,,,,,4 June 2018,04:45
57,CCAFS,SES-11,"5,200 kg",,,,,,29 June 2018,09:42
58,CCAFS,Koreasat 5A,"3,500 kg",,,,,,22 July 2018,05:50
59,VAFB,SpaceX CRS-13,"2,205 kg",,,,,,25 July 2018,11:39
60,CCAFS,Iridium NEXT,"9,600 kg",,,,,,7 August 2018,05:18
61,CCAFS,Zuma,C,,,,,,10 September 2018,04:45
62,VAFB,GovSat-1,"4,230 kg",,,,,,8 October 2018,02:22
63,KSC,Paz,"2,150 kg",,,,,,15 November 2018,20:46
64,VAFB,Hispasat 30W-6,"6,092 kg",,,,,,3 December 2018,18:34:05
65,CCAFS,Iridium NEXT,"9,600 kg",,,,,,5 December 2018,18:16
66,CCAFS,SpaceX CRS-14,"2,647 kg",,,,,,23 December 2018,13:51
67,VAFB,Transiting Exoplanet Survey Satellite,362 kg,,,,,,11 January 2019,15:31
68,CCAFS,Bangabandhu-1,"3,600 kg",,,,,,22 February 2019,01:45
69,KSC,Iridium NEXT,"6,460 kg",,,,,,2 March 2019,07:49
70,CCAFS,SES-12,"5,384 kg",,,,,,4 May 2019,06:48
71,CCAFS,SpaceX CRS-15,"2,697 kg",,,,,,24 May 2019,02:30
72,VAFB,Telstar 19V,"7,075 kg",,,,,,12 June 2019,14:17
73,CCAFS,Iridium NEXT,"9,600 kg",,,,,,25 July 2019,22:01
74,CCAFS,Merah Putih,"5,800 kg",,,,,,6 August 2019,23:23
75,CCAFS,Telstar 18V,"7,060 kg",,,,,,11 November 2019,14:56
76,CCAFS,SAOCOM 1A,"3,000 kg",,,,,,5 December 2019,17:29
77,CCAFS,Es'hail 2,"5,300 kg",,,,,,17 December 2019,00:10
78,CCAFS,SSO-A,"~4,000 kg",,,,,,7 January 2020,02:19:21
79,KSC,SpaceX CRS-16,"2,500 kg",,,,,,19 January 2020,15:30
80,CCAFS,GPS III,"4,400 kg",,,,,,29 January 2020,14:07
81,CCAFS,Iridium NEXT,"9,600 kg",,,,,,17 February 2020,15:05
82,CCAFS,Nusantara Satu,"4,850 kg",,,,,,7 March 2020,04:50
83,KSC,Crew Dragon Demo-1,"12,055 kg",,,,,,18 March 2020,12:16
84,KSC,SpaceX CRS-17,"2,495 kg",,,,,,22 April 2020,19:30
85,KSC,Starlink,"13,620 kg",,,,,,30 May 2020,19:22
86,CCAFS,RADARSAT Constellation,"4,200 kg",,,,,,4 June 2020,01:25
87,CCAFS,SpaceX CRS-18,"2,268 kg",,,,,,13 June 2020,09:21
88,CCAFS,AMOS-17,"6,500 kg",,,,,,30 June 2020,20:10:46
89,CCAFS,Starlink,"15,600 kg",,,,,,20 July 2020,21:30
90,KSC,SpaceX CRS-19,"2,617 kg",,,,,,7 August 2020,05:12
91,CCAFS,JCSat-18,"6,956 kg",,,,,,18 August 2020,14:31
92,CCAFS,Starlink,"15,600 kg",,,,,,30 August 2020,23:18
93,KSC,Crew Dragon in-flight abort test,"12,050 kg",,,,,,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",,,,,,6 October 2020,11:29:34
95,KSC,Starlink,"15,600 kg",,,,,,18 October 2020,12:25:57
96,CCAFS,SpaceX CRS-20,"1,977 kg",,,,,,24 October 2020,15:31:34
97,CCAFS,Starlink,"15,600 kg",,,,,,5 November 2020,23:24:23
98,KSC,Starlink,"15,600 kg",,,,,,16 November 2020,00:27
99,VAFB,Crew Dragon Demo-2,"12,530 kg",,,,,,21 November 2020,17:17:08
100,CCAFS,Starlink,"15,600 kg",,,,,,25 November 2020,02:13
